`,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,,,,,,,,,,,,,,
1 to 3,34,45,3/12/18,F,NA,0.3478,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,19,7/17/17,F,NA,0.3476,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,16,55,8/28/17,F,NA,0.3476,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,14,8/7/17,F,8/19/17,0.3475,13,8/29/17,22,N,,,,,,,,,,,,,,
1 to 3,21,15,9/6/17,F,9/20/17,0.3475,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,16,8/14/17,F,8/23/17,0.3472,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,21,18,9/6/17,F,9/20/17,0.3471,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,64,8/3/17,F,8/14/17,0.347,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,31,8/11/17,F,8/23/17,0.3469,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,3,5/2/17,F,5/13/17,0.3469,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,32,7/17/17,F,NA,0.3469,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,7,8,7/3/17,F,7/15/17,0.3468,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,52,8/7/17,F,8/19/17,0.3468,13,8/30/17,23,N,,,,,,,,,,,,,,
1 to 3,18,49,8/30/17,F,NA,0.3467,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,3,8/14/17,F,8/26/17,0.3466,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,9,16,7/17/17,F,NA,0.3466,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,9,9,7/17/17,F,NA,0.3463,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,10,56,8/3/17,F,8/14/17,0.3462,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,17,5,8/28/17,F,NA,0.346,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,10,5/2/17,F,5/13/17,0.3458,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,18,12/4/17,F,12/16/17,0.3456,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,38,9/5/17,F,9/19/17,0.3454,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,26,31,10/30/17,F,11/12/17,0.3454,14,11/24/17,25,N,,,,,,,,,,,,,,
1 to 3,12,26,8/8/17,F,8/21/17,0.3453,14,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,28,3,11/27/17,F,12/11/17,0.3453,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,9,35,7/17/17,F,NA,0.3451,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,10,57,8/3/17,F,8/14/17,0.3449,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,29,8/14/17,F,8/26/17,0.3447,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,11,16,8/7/17,F,8/19/17,0.3447,13,8/29/17,22,N,,,,,,,,,,,,,,
1 to 3,18,40,8/30/17,F,NA,0.3446,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,88,8/10/17,F,8/21/17,0.3445,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,24,8/14/17,F,8/26/17,0.3445,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,12,8,8/8/17,F,8/21/17,0.3445,14,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,24,56,10/11/17,F,10/23/17,0.3444,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,61,8/3/17,F,8/14/17,0.3441,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,50,5/2/17,F,5/13/17,0.344,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,45,10/25/17,F,11/8/17,0.3439,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,11,22,8/11/17,F,8/23/17,0.3438,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,28,8/3/17,F,8/14/17,0.3438,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,10,8/7/17,F,8/19/17,0.3438,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,10,29,8/3/17,F,8/14/17,0.3436,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,59,8/3/17,F,8/14/17,0.3436,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,14,8/14/17,F,8/24/17,0.3436,12,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,9,6,7/17/17,F,NA,0.3434,NA,8/5/17,19,N,,,,,,,,,,,,,,
1 to 3,14,13,8/10/17,F,8/22/17,0.3431,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,60,8/28/17,F,NA,0.3428,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,50,8/10/17,F,8/22/17,0.3426,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,29,5/30/17,F,6/10/17,0.3426,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,54,10/11/17,F,10/23/17,0.3425,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,17,17,8/28/17,F,NA,0.3421,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,74,9/5/17,F,9/20/17,0.3421,15,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,15,20,8/14/17,F,8/26/17,0.3414,12,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,34,34,3/12/18,F,NA,0.3414,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,8,8/14/17,F,8/24/17,0.3413,12,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,14,18,8/14/17,F,8/23/17,0.3412,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,28,44,11/27/17,F,12/11/17,0.3412,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,10,16,8/3/17,F,8/14/17,0.341,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,20,5/2/17,F,5/13/17,0.3409,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,15,7/3/17,F,7/15/17,0.3409,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,42,7/17/17,F,NA,0.3409,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,25,64,10/25/17,F,11/9/17,0.3406,16,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,26,41,10/30/17,F,11/13/17,0.3406,15,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,14,20,8/14/17,F,8/23/17,0.3403,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,29,20,12/4/17,F,12/16/17,0.3402,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,21,8/7/17,F,8/19/17,0.34,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,27,41,11/13/17,F,11/25/17,0.3399,12,12/7/17,24,N,,,,,,,,,,,,,,
1 to 3,12,24,8/14/17,F,8/26/17,0.3398,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,4,13,5/30/17,F,6/10/17,0.3398,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,9,8/14/17,F,8/26/17,0.3397,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,7,45,7/3/17,F,7/14/17,0.3397,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,9,6/25/19,F,7/4/19,0.3394,9,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,20,8/28/17,F,NA,0.3393,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,12,12/4/17,F,12/17/17,0.3392,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,5,10/25/17,F,11/9/17,0.3391,16,11/21/17,27,N,,,,,,,,,,,,,,
1 to 3,28,10,11/27/17,F,12/9/17,0.3387,12,12/21/17,24,N,,,,,,,,,,,,,,
1 to 3,101,22,6/26/19,F,7/7/19,0.3385,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,9,8/14/17,F,8/23/17,0.3384,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,9,7,7/17/17,F,NA,0.3383,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,9,46,7/17/17,F,NA,0.3379,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,14,21,8/14/17,F,8/26/17,0.3376,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,7,30,7/3/17,F,7/14/17,0.3373,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,30,8/14/17,F,8/26/17,0.3373,14,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,12,36,8/14/17,F,8/26/17,0.3372,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,1,43,5/2/17,F,5/13/17,0.3371,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,10,8/14/17,F,8/23/17,0.3371,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,14,31,8/14/17,F,8/23/17,0.3371,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,4,31,5/30/17,F,6/10/17,0.3369,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,1,8/14/17,F,8/23/17,0.3369,11,9/1/17,18,N,,,,,,,,,,,,,,
1 to 3,14,9,8/14/17,F,8/23/17,0.3369,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,25,39,10/25/17,F,11/8/17,0.3369,15,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,12,43,8/14/17,F,8/27/17,0.3368,13,9/7/17,24,N,,,,,,,,,,,,,,
1 to 3,9,5,7/17/17,F,NA,0.3365,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,18,36,8/30/17,F,NA,0.3363,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,34,8/10/17,F,8/22/17,0.3362,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,54,8/8/17,F,8/21/17,0.3362,14,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,15,55,8/18/17,F,8/29/17,0.3362,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,27,12/4/17,F,12/16/17,0.3361,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,33,10/30/17,F,11/13/17,0.3356,15,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,9,14,7/17/17,F,NA,0.3355,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,11,24,8/7/17,F,8/20/17,0.3354,14,8/30/17,23,N,,,,,,,,,,,,,,
1 to 3,11,53,8/7/17,F,8/19/17,0.3354,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,26,57,10/30/17,F,11/13/17,0.3354,15,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,9,49,7/17/17,F,NA,0.3353,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,17,18,8/28/17,F,NA,0.3352,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,7,8/18/17,F,8/29/17,0.3351,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,27,11/27/17,F,12/9/17,0.3351,12,12/21/17,24,N,,,,,,,,,,,,,,
1 to 3,9,28,7/17/17,F,NA,0.335,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,28,33,11/27/17,F,12/10/17,0.335,13,12/21/17,24,N,,,,,,,,,,,,,,
1 to 3,15,13,8/14/17,F,8/26/17,0.3348,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,16,54,8/28/17,F,NA,0.3348,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,16,5/30/17,F,6/10/17,0.3345,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,42,8/10/17,F,8/21/17,0.3344,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,7,11/27/17,F,12/10/17,0.3344,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,15,49,8/18/17,F,8/29/17,0.3343,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,60,11/13/17,F,11/26/17,0.334,13,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,9,23,7/17/17,F,NA,0.3339,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,13,2,8/14/17,F,8/24/17,0.3339,12,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,15,59,8/18/17,F,8/29/17,0.3339,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,70,11/27/17,F,12/10/17,0.3339,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,28,21,11/27/17,F,12/11/17,0.3337,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,29,42,12/4/17,F,12/16/17,0.3332,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,45,12/4/17,F,12/16/17,0.3332,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,57,8/10/17,F,8/21/17,0.3331,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,25,12/4/17,F,12/16/17,0.3331,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,91,8/10/17,F,8/22/17,0.3329,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,31,7/17/17,F,NA,0.3329,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,12,59,8/14/17,F,8/25/17,0.3328,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,16,1,8/28/17,F,NA,0.3327,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,4,5/30/17,F,6/10/17,0.3326,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,55,8/8/17,F,8/19/17,0.3326,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,11,3,8/11/17,F,8/22/17,0.332,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,61,8/10/17,F,8/22/17,0.332,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,8,3/12/18,F,NA,0.3319,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,27,8/7/17,F,8/21/17,0.3318,15,9/1/17,25,N,,,,,,,,,,,,,,
1 to 3,12,50,8/14/17,F,8/26/17,0.3316,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,7,23,7/3/17,F,7/15/17,0.3316,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,7,8/10/17,F,8/22/17,0.3315,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,12,11/27/17,F,12/12/17,0.3315,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,59,8/10/17,F,8/21/17,0.3314,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,39,8/3/17,F,8/14/17,0.3312,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,36,5/2/17,F,5/13/17,0.3309,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,25,6/26/19,F,7/7/19,0.3308,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,16,8/14/17,F,8/26/17,0.3307,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,29,29,12/4/17,F,12/17/17,0.3307,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,35,8/10/17,F,8/21/17,0.3305,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,52,8/14/17,F,8/25/17,0.3303,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,1,25,5/2/17,F,5/13/17,0.3303,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,31,5/2/17,F,5/13/17,0.3302,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,26,8/11/17,F,8/22/17,0.3301,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,20,12/10/17,F,NA,0.3301,NA,1/13/18,34,N,,,,,,,,,,,,,,
1 to 3,1,17,5/2/17,F,5/13/17,0.3299,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,10,6/25/19,F,7/5/19,0.3298,10,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,33,7/17/17,F,NA,0.3296,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,33,10,2/20/18,F,3/4/18,0.3295,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,19,8/14/17,F,8/26/17,0.3294,12,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,10,58,8/3/17,F,8/14/17,0.3294,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,6,8/7/17,F,8/19/17,0.3293,13,8/29/17,22,N,,,,,,,,,,,,,,
1 to 3,1,45,5/2/17,F,5/13/17,0.3292,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,80,8/10/17,F,8/22/17,0.329,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,38,12/11/17,F,NA,0.329,NA,1/13/18,33,N,,,,,,,,,,,,,,
1 to 3,9,36,7/17/17,F,NA,0.3285,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,4,3,5/30/17,F,6/10/17,0.3284,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,6,8/18/17,F,8/29/17,0.3282,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,23,30,10/3/17,F,NA,0.3282,NA,10/27/17,24,N,,,,,,,,,,,,,,
1 to 3,15,46,8/14/17,F,8/25/17,0.3281,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,12,17,8/14/17,F,8/25/17,0.3279,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,6,51,6/12/17,F,NA,0.3277,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,37,8/10/17,F,8/22/17,0.3275,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,60,8/18/17,F,8/29/17,0.3275,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,16,8/18/17,F,8/29/17,0.3274,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,49,10/25/17,F,11/7/17,0.3274,14,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,101,2,6/25/19,F,7/5/19,0.3274,10,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,30,8/10/17,F,8/21/17,0.3273,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,18,8/10/17,F,8/21/17,0.3271,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,3,6/25/19,F,7/5/19,0.327,10,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,40,8/14/17,F,8/26/17,0.3268,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,26,51,10/30/17,F,11/13/17,0.3268,15,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,15,17,8/14/17,F,8/26/17,0.3257,12,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,34,53,3/12/18,F,NA,0.3254,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,14,5/30/17,F,6/10/17,0.3251,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,23,6/26/19,F,7/6/19,0.3251,10,NA,NA,N,,,,,,,,,,,,,,
1 to 3,33,28,2/20/18,F,3/5/18,0.325,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,20,6/26/19,F,7/7/19,0.3249,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,62,10/25/17,F,11/6/17,0.3248,13,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,33,12,2/20/18,F,3/5/18,0.3245,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,53,8/14/17,F,8/26/17,0.3244,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,4,18,5/30/17,F,6/10/17,0.3238,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,25,5/30/17,F,6/10/17,0.3236,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,19,8/18/17,F,8/29/17,0.3236,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,14,8/10/17,F,8/22/17,0.3233,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,52,10/11/17,F,10/24/17,0.3232,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,39,8/14/17,F,8/25/17,0.323,11,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,14,56,8/10/17,F,8/21/17,0.3228,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,23,5/30/17,F,6/10/17,0.3223,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,40,7/17/17,F,NA,0.3221,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,10,32,8/3/17,F,8/14/17,0.3217,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,18,8/7/17,F,8/21/17,0.3217,15,8/31/17,24,N,,,,,,,,,,,,,,
1 to 3,1,55,5/2/17,F,5/13/17,0.3214,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,33,21,2/20/18,F,3/5/18,0.3214,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,41,8/18/17,F,8/29/17,0.3213,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,4,6/25/19,F,7/5/19,0.3213,10,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,49,8/14/17,F,8/26/17,0.3209,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,10,23,8/3/17,F,8/14/17,0.3209,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,23,3/12/18,F,NA,0.3209,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,12,8/18/17,F,8/29/17,0.3207,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,7,5/30/17,F,6/10/17,0.3205,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,9,8/18/17,F,8/29/17,0.3205,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,54,8/7/17,F,8/19/17,0.3198,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,34,41,3/12/18,F,NA,0.3198,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,41,8/14/17,F,8/25/17,0.3196,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,12,52,8/14/17,F,8/26/17,0.3193,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,15,45,8/18/17,F,8/29/17,0.3193,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,24,8/14/17,F,8/26/17,0.3189,14,9/1/17,18,N,,,,,,,,,,,,,,
1 to 3,14,12,8/10/17,F,8/22/17,0.3187,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,31,8/14/17,F,8/26/17,0.3186,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,14,1,8/10/17,F,8/22/17,0.3185,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,3,3/12/18,F,NA,0.3184,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,26,8/18/17,F,8/29/17,0.3183,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,45,8/7/17,F,8/19/17,0.3182,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,28,72,11/27/17,F,12/11/17,0.3182,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,21,13,9/6/17,F,9/20/17,0.3181,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,44,3/12/18,F,NA,0.3181,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,50,3/12/18,F,NA,0.3179,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,4,8/18/17,F,8/29/17,0.3175,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,59,9/5/17,F,9/17/17,0.3173,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,11,33,8/7/17,F,8/19/17,0.3172,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,27,53,11/13/17,F,12/1/17,0.3172,18,12/11/17,28,N,,,,,,,,,,,,,,
1 to 3,34,25,3/12/18,F,NA,0.3171,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,42,8/14/17,F,8/26/17,0.3168,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,14,12,8/14/17,F,8/23/17,0.3167,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,11,47,8/7/17,F,8/21/17,0.3166,15,9/1/17,25,N,,,,,,,,,,,,,,
1 to 3,29,61,12/4/17,F,12/16/17,0.3163,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,74,8/10/17,F,8/21/17,0.316,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,17,8/8/17,F,8/21/17,0.3159,14,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,18,32,8/30/17,F,NA,0.3159,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,44,12/11/17,F,NA,0.3155,NA,1/14/18,34,N,,,,,,,,,,,,,,
1 to 3,1,38,5/2/17,F,5/13/17,0.3154,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,1,8/18/17,F,8/29/17,0.3149,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,21,8/14/17,F,8/23/17,0.3148,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,1,26,5/2/17,F,5/13/17,0.3146,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,62,8/3/17,F,8/14/17,0.3137,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,24,8/3/17,F,8/14/17,0.3133,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,42,10/25/17,F,11/8/17,0.3133,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,4,19,5/30/17,F,6/10/17,0.313,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,59,12/4/17,F,12/16/17,0.313,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,30,8/14/17,F,8/26/17,0.3127,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,14,52,8/10/17,F,8/21/17,0.3123,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,33,8/8/17,F,8/19/17,0.3118,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,13,17,8/14/17,F,8/23/17,0.3118,11,9/1/17,18,N,,,,,,,,,,,,,,
1 to 3,29,34,12/4/17,F,12/16/17,0.3118,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,1,3/12/18,F,NA,0.3118,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,85,8/10/17,F,8/21/17,0.3115,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,12,6/26/19,F,7/7/19,0.3115,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,30,6/26/19,F,7/7/19,0.3115,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,5,8/14/17,F,8/25/17,0.3114,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,15,28,8/18/17,F,8/29/17,0.3114,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,23,8/10/17,F,8/21/17,0.3112,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,32,8/7/17,F,8/19/17,0.311,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,34,59,3/12/18,F,NA,0.3106,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,17,8/10/17,F,8/21/17,0.3103,11,NA,NA,N,,,,,,,,,,,,,,
